			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
rnd-1_family-479	DNA	DNA	0	0	0	0	0	0	0	0	0	0	163	80	303	317	358	606	760	935	322	90	0	285	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1098	SINE	SINE	786	1267	717	209	502	69	515	550	0	723	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3212	Unknown	Unknown	0	0	0	0	50	0	50	0	201	628	391	2387	3125	3090	4871	7542	6664	9125	11439	9218	11461	11685	14570	10335	8312	7821	2843	2682	477	156	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1044	LTR	LTR	60	0	0	89	0	537	1335	1099	1477	786	431	227	279	74	0	136	50	108	129	615	1876	4325	5156	3930	1042	772	1570	866	1467	878	0	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1095	LTR	Copia	0	0	41	0	0	0	0	0	0	0	88	84	176	164	0	271	349	499	343	437	416	92	225	271	86	64	147	184	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-489	DNA	DNA	0	52	0	0	97	277	280	299	392	614	1029	1361	1565	3901	1659	2809	3996	4833	4127	4492	3961	3880	4278	3279	2957	2139	1216	1226	914	297	235	0	0	31	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1001	DNA	DNA	55	0	0	0	0	178	1363	2150	1614	2969	2147	885	1816	396	657	748	681	898	395	551	456	687	1520	1364	875	960	751	338	175	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-648	LTR	Copia	0	0	0	0	0	442	0	621	0	673	2588	1844	3289	5102	6154	1241	1905	3156	2791	1405	2703	1078	928	668	309	735	346	185	0	284	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-460	Retro	Retro	0	0	0	0	0	0	0	0	0	64	0	0	0	58	57	14	129	107	35	129	171	139	0	27	124	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3860	DNA	CMC-EnSpm	0	0	5242	5798	1869	1134	141	0	905	974	111	0	455	0	1264	554	1922	964	586	1980	1066	215	2194	2015	975	1109	252	405	495	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-72	LINE	LINE	0	0	0	0	0	0	0	0	0	67	0	0	0	0	387	101	0	0	180	159	44	61	464	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-215	LTR	Copia	33	87	254	164	157	940	1924	2951	9350	15947	41381	70490	43666	44802	25810	6386	253	2279	116	0	0	0	326	2143	2519	1122	4183	3669	1574	803	2057	1871	617	145	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-112	Retro	Retro	0	0	0	0	0	0	0	184	0	320	546	3656	2332	3720	4471	2774	1091	1044	30	0	508	232	267	865	479	281	257	129	0	48	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-159	LTR	Cassandra	220	3674	9790	17946	38445	42618	33452	21664	16200	13292	7125	8402	9997	5972	8500	8615	5705	8894	3838	6050	4395	2925	3358	3876	3328	2398	2979	2052	2773	1510	497	765	1278	0	32	97	106	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-369	LTR	Gypsy	0	0	0	0	0	0	364	908	1936	1213	1767	2522	6453	5892	7098	4433	3947	3581	2470	1600	1051	135	1020	741	463	199	150	0	12	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-266	Unknown	Unknown	0	0	37	0	111	128	134	291	615	876	4836	10282	12982	11667	11924	13766	12639	20219	21074	18514	16977	16035	14041	9772	7531	5050	4151	2422	293	337	139	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-37	LTR	Gypsy	611	2492	2896	3080	1970	5888	3258	7408	16996	41855	56317	77771	87938	96028	106034	117291	113922	102666	84071	68799	45685	33194	24646	11668	5347	4631	3602	3711	1620	533	500	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4891	DNA	DNA	0	0	0	0	0	0	0	53	71	0	124	472	1021	2362	1025	1845	2988	4972	2837	4313	3473	5594	3376	1975	2168	530	509	32	295	31	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-963	DNA	DNA	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	133	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3442	LTR	LTR	0	0	34	0	75	359	835	496	2414	3247	2471	2264	2997	3858	3008	3168	2590	1730	1921	848	1265	905	769	1157	574	147	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-724	LTR	Copia	0	0	0	0	0	0	63	61	0	0	0	0	0	0	0	0	0	381	0	153	329	249	473	58	0	39	0	0	0	99	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-147	LTR	Cassandra	0	955	2999	7620	12650	8981	15802	6665	8378	4202	3495	3210	2859	3509	2953	2475	2315	2191	1960	1219	2056	339	2393	1227	573	125	750	411	100	483	619	446	106	280	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1101	LTR	LTR	0	0	0	0	127	0	0	126	1535	10876	7264	2598	2115	4494	1854	1173	472	499	978	1030	1346	1338	607	303	404	440	395	115	715	1258	1200	840	746	918	813	753	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4047	LTR	LTR	0	0	0	0	0	0	44	0	0	0	48	0	216	379	926	2168	2549	3301	6171	6813	3767	7081	4495	5788	3412	988	1565	777	374	89	0	278	544	278	503	267	0	0	293	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-68	DNA	DNA	0	0	0	0	0	0	0	38	0	44	93	151	237	65	358	1520	2456	1359	4606	3597	5670	5112	8617	9421	7418	6044	5129	9696	5687	5373	3941	2735	1705	1879	727	173	351	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-180	DNA	DNA	0	87	173	66	262	364	657	835	137	82	744	384	0	578	862	257	1111	567	781	1379	2004	2185	2057	2250	1673	1623	1414	357	1595	8	203	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-538	DNA	hAT-Ac	0	0	0	0	0	0	0	0	0	0	0	19	61	105	26	417	674	238	494	507	502	443	893	481	1145	566	400	342	338	232	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4430	DNA	MULE-MuDR	0	0	0	0	0	0	0	0	0	0	0	0	132	207	332	671	2003	1608	2039	737	1399	1591	1668	1579	789	1364	2188	635	1479	1275	0	144	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-358	SINE	SINE	0	0	0	0	0	224	333	399	224	1622	2123	1872	2828	3612	4334	5049	3472	2142	2673	2266	1854	676	161	136	95	109	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1124	DNA	DNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-104	LTR	LTR	0	0	0	31	0	0	33	51	132	0	39	0	0	0	61	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-718	LTR	LTR	0	0	533	2065	383	0	46	182	164	254	1493	681	1279	6785	3380	1327	475	1267	1496	0	1978	261	1401	123	923	462	0	483	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-562	LINE	L1	0	0	0	0	0	0	0	0	0	0	60	0	0	189	1643	2903	2254	710	1345	1251	1965	4194	5691	13685	22284	42857	56704	92856	76351	55792	54250	16757	5624	1586	134	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-577	LTR	Gypsy	0	0	0	0	0	0	0	0	0	0	0	0	90	65	9890	8383	973	2295	6892	25616	54917	61887	34641	39731	25993	18722	4391	3450	1112	876	1583	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-742	Retro	Retro	0	0	0	0	637	1716	542	1116	1539	1463	2568	967	178	200	460	59	627	903	1347	3549	5300	6349	3239	2823	2938	2993	1874	1061	959	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-1513	DNA	DNA	0	0	126	0	0	131	354	2389	2449	2290	5068	4189	2412	5108	3872	3800	3707	4771	4610	2021	2203	2280	1744	2679	1212	1784	551	712	110	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-355	DNA	DNA	0	0	0	56	0	193	0	175	196	540	602	422	1478	497	1428	465	1767	653	577	255	127	326	18	128	6	79	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-1667	LTR	LTR	35	56	0	195	228	977	1552	1816	2722	4391	4381	7740	7192	7726	6506	9208	9377	8356	6472	6486	6118	3254	2600	1896	998	863	355	506	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-543	DNA	hAT-Ac	0	0	0	0	0	0	0	0	36	41	214	179	477	685	1397	2979	6770	8125	16121	16588	19216	19706	16793	10690	9091	10074	6761	2078	2542	963	329	856	525	81	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-881	LTR	LTR	0	140	70	0	116	209	14	107	926	2032	7616	7280	8132	5220	1992	1589	842	5840	2780	7395	2245	3946	2081	1070	667	1175	333	325	0	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3198	DNA	DNA	0	0	0	0	0	136	0	394	5181	8761	8158	4849	3814	1898	3490	3942	3938	4496	3070	2126	2529	1925	2906	3223	1260	1428	303	362	137	210	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1043	LINE	LINE	1160	2121	3362	15844	11261	11026	3097	1499	817	33	0	0	0	0	0	0	0	0	355	178	1138	1510	1116	592	897	512	637	0	0	82	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-63	DNA	DNA	60	0	147	92	0	241	490	2026	3607	8625	20280	18454	20916	16324	20837	29827	38569	38132	37253	33326	27442	27037	19307	9916	5090	6647	1813	789	300	165	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-829	LTR	Gypsy	33	0	146	231	968	371	2958	900	1764	2227	2001	8746	13022	12027	10872	11427	17867	24218	11152	14390	10114	13497	5265	8430	5502	6308	5231	2292	2599	2014	1329	929	291	67	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-3506	LTR	Gypsy	35	0	0	104	1775	10343	5288	7448	5641	3001	159	982	209	1825	0	81	822	1662	723	3892	7686	4183	2316	0	0	592	494	677	836	0	0	0	507	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3899	LINE	LINE	0	0	0	0	0	60	74	0	36	659	1070	474	1369	1427	662	1999	797	1828	1036	1396	148	952	363	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-887	DNA	DNA	0	0	115	0	140	0	0	68	70	130	345	280	337	202	137	0	0	0	0	62	64	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-844	DNA	DNA	0	0	0	119	0	0	427	1743	1281	1090	848	648	1967	0	436	0	0	0	0	0	0	0	0	0	170	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-730	LTR	Gypsy	0	0	0	0	15	393	1998	5602	10829	11741	8687	10185	11205	12864	12796	10551	8808	5765	4869	2717	2999	6947	6397	9312	5761	2015	3273	1228	1582	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1090	Retro	Retro	0	0	142	0	0	68	41	67	145	42	0	249	124	249	281	197	540	437	528	521	351	232	350	224	54	304	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-275	Retro	Retro	0	0	0	0	0	193	0	594	1156	373	381	940	1914	1525	557	1028	1403	1261	449	366	273	197	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-1704	RC	Helitron	0	0	0	0	0	0	0	0	0	1631	2850	0	2054	1692	71	4516	2074	3837	3212	12795	19807	12283	16014	9804	9183	30236	21330	15016	14015	17442	5272	4550	1769	2542	1573	208	0	218	314	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-435	LTR	Gypsy	0	0	0	0	0	0	0	0	0	0	137	77	9	184	428	316	255	424	203	565	616	183	140	134	141	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-238	DNA	DNA	0	0	0	0	0	0	0	0	177	174	0	0	0	0	891	497	0	17	14	21	0	0	285	307	91	1033	0	294	350	154	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-759	DNA	DNA	0	0	0	0	5870	24479	18822	14439	7013	6697	6346	3291	3934	4891	4128	2917	2246	1548	2209	1698	641	876	681	145	164	263	60	225	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-677	LTR	Cassandra	0	0	247	245	513	508	1447	1899	1407	530	840	780	614	144	98	160	175	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-939	LTR	Copia	111	0	553	1454	4445	5460	5298	1959	1363	558	1032	747	770	340	339	1088	1172	784	730	830	699	789	280	215	0	140	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-2638	DNA	DNA	74	3066	9842	7100	9045	8573	1980	1879	238	1315	176	300	0	0	174	1024	540	124	299	790	428	576	230	560	420	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-747	LTR	LTR	0	0	0	0	0	51	46	491	550	2435	4472	5885	5599	4101	1278	1809	1733	780	2739	639	620	311	240	248	214	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-561	DNA	DNA	55	58	1022	2934	3391	8212	13064	11336	9243	5054	5207	4379	2432	3104	3170	3315	2651	3190	1938	2533	2095	1473	882	665	75	508	0	144	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-964	LTR	LTR	848	433	261	359	398	297	64	263	525	226	0	247	0	248	243	268	297	131	353	67	493	286	354	130	250	741	32	126	428	123	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-68	DNA	TcMar-Stowaway	0	0	36	82	70	113	623	1930	5493	7582	15055	16258	19529	18458	16228	10370	7734	7372	4846	3440	3928	4375	3656	2884	2589	1684	1367	423	777	195	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-462	DNA	DNA	0	51	0	0	67	0	309	418	347	607	1916	1439	2794	3507	3366	4036	5047	3182	4135	3712	3952	1849	1636	1484	924	301	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-510	LINE	L1	0	0	0	0	0	0	52	98	220	1101	332	738	7903	2468	2411	1741	3902	2307	7135	7778	7793	4877	6541	6484	6339	7710	4165	2807	6400	8312	5309	1516	1747	1863	1604	1010	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-587	LTR	Gypsy	0	0	0	0	0	0	0	0	47	52	166	153	524	45	1491	779	758	543	1338	728	1070	345	485	439	193	301	334	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-562	LTR	LTR	0	0	0	0	0	0	0	0	43	0	0	52	0	60	200	263	0	0	0	361	137	341	74	213	153	148	17	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-411	LINE	LINE	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	315	413	413	229	96	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-726	LTR	Gypsy	0	0	0	0	0	36	1104	2166	2730	3583	6592	5335	1606	362	718	555	526	358	118	918	1420	715	1882	832	616	342	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-297	LTR	Copia	0	89	1151	36041	36567	38267	44032	16796	46708	24562	11195	7455	11375	7213	4542	3534	16193	15793	474	234	1731	588	1455	2487	313	2209	2060	4791	6590	1769	1514	408	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-937	Retro	Retro	0	0	0	58	47	540	887	1260	9632	17843	12467	21836	16392	11934	15236	9844	6736	3029	3256	2323	1322	3472	5480	4828	2376	250	4626	2778	342	742	137	2620	1043	1200	0	0	0	347	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-559	LTR	LTR	0	0	0	0	0	225	79	415	494	150	700	1173	785	917	634	1701	653	397	835	594	357	907	414	168	157	97	0	126	75	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1826	DNA	DNA	31	0	0	0	0	0	0	129	452	370	359	2143	3157	12074	6770	9155	12413	11836	12959	12845	9661	5364	3238	2767	2393	1029	598	789	513	504	835	591	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-502	LTR	Gypsy	0	0	0	0	0	0	0	70	0	0	147	0	0	0	534	2001	4472	6847	1980	813	729	305	30	535	1099	1000	210	145	234	170	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-3_family-199	DNA	DNA	0	0	41	247	553	2754	6632	24373	52262	66851	58924	66245	51670	34884	20512	11114	5846	3728	3135	2518	1336	1611	315	209	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-3312	LTR	LTR	0	0	167	0	859	1081	4320	4520	5888	6335	8797	6581	7510	3807	10549	4193	2080	2178	2976	1311	1936	4329	5601	5861	7736	4140	2156	3428	2542	5446	4987	1241	3542	710	423	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-872	LTR	LTR	0	0	348	1203	4069	3794	5240	7576	5136	4713	5239	4369	5886	2599	3614	5274	4401	3205	3204	1843	555	702	1275	468	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-798	LINE	L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	463	468	182	996	772	882	341	493	753	1219	1554	730	1005	402	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1597	LINE	LINE	0	0	0	54	78	53	0	137	991	65	644	377	184	620	1043	790	1929	585	1442	1405	2027	2167	4261	3614	5288	1244	2093	3717	373	381	110	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-928	LINE	LINE	0	0	35	29	84	0	475	279	1162	1096	280	3003	3208	1880	2349	1618	1318	1556	269	233	427	1246	307	956	684	306	338	608	561	164	151	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-841	DNA	DNA	27	60	0	0	289	0	72	69	78	54	70	36	142	80	0	123	132	22	0	9	209	0	202	131	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-468	LTR	LTR	0	0	0	0	61	0	111	318	298	0	782	128	306	887	675	875	746	560	159	487	479	659	0	113	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-952	LTR	LTR	0	0	0	199	0	976	3404	4231	2913	1885	1261	373	346	457	713	308	328	113	448	479	907	510	439	557	248	263	211	697	219	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-837	DNA	MULE-MuDR	0	0	0	203	43	979	12792	13207	7089	1170	1320	1601	973	2201	914	0	0	443	0	0	0	258	336	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-172	Unknown	Unknown	0	0	0	0	83	0	0	210	736	4617	8842	9697	14634	11182	10430	8630	7816	6168	5710	5214	6684	5740	7249	4740	3125	2076	2064	1205	312	366	193	114	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-876	LINE	LINE	3928	7396	12079	13943	18533	23248	14120	4884	2683	3064	2883	4087	3804	1884	1681	824	344	0	181	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-287	Retro	Retro	37	0	0	57	46	1004	1294	2041	2225	2862	6279	5747	5474	5475	3783	4753	3227	1229	1115	884	297	1430	140	252	4	12	0	0	0	34	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1026	nonLTR	nonLTR	0	0	0	0	227	451	0	386	1132	94	0	0	286	1596	1678	1320	3142	1000	3109	2561	2091	2606	1749	622	799	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2470	LINE	LINE	0	0	0	0	0	0	202	278	835	681	674	1136	2607	4281	6038	7440	14545	21879	25406	42505	41520	28277	22806	19770	9898	7068	3721	2360	1615	191	32	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-506	LTR	LTR	0	0	0	0	0	0	0	146	49	0	0	0	0	128	0	0	0	0	0	6	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1551	Retro	Retro	0	0	0	0	0	0	1444	428	329	1801	572	630	802	2696	2559	2293	3858	4167	5559	7260	5495	3050	4565	2235	3585	3590	2851	6373	1950	2374	1242	730	61	194	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-52	LTR	Gypsy	40	56	0	0	76	0	4716	9260	21288	19757	15248	3374	7430	41547	91691	36320	22871	19848	10414	6788	3913	1725	1862	2398	574	1258	471	1051	5074	3841	4187	1737	901	557	0	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-3_family-828	DNA	DNA	30	0	173	201	211	123	792	1256	2060	4246	4900	8961	8913	12272	12607	13028	10589	10303	6766	8007	7183	7730	8472	8217	5157	3583	2395	1439	782	631	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-466	DNA	DNA	29	60	0	0	0	55	43	0	0	0	0	0	65	0	56	111	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-604	LTR	Copia	0	0	106	700	188	686	2778	6587	17632	16322	9498	2610	758	92	1581	505	2093	0	443	1393	77	1015	6172	2700	1009	1626	4995	2901	2954	742	1409	0	339	0	29	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-907	LTR	LTR	0	94	441	174	447	896	691	709	693	332	397	87	85	134	100	0	75	0	0	0	89	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-586	LTR	Gypsy	0	0	0	0	0	135	378	653	1021	3705	2107	2555	2592	2815	3342	2509	1918	1202	928	464	443	666	708	320	36	0	18	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-668	DNA	DNA	29	51	0	230	3888	7216	12192	11560	6346	3915	3188	2131	4721	4409	5389	3406	4575	7588	2847	1958	2441	1119	329	586	231	328	478	2	536	64	2	129	0	0	95	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-3_family-11	RC	Helitron	66	327	1021	915	2361	8621	14544	21203	9686	5563	6376	6137	7310	8010	6240	5427	6102	3580	2882	1261	507	743	383	292	79	55	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-566	LTR	LTR	0	0	0	0	0	0	0	339	0	1069	740	438	1727	2525	1738	303	0	0	336	0	154	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-588	DNA	DNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	92	0	87	0	0	0	0	0	35	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2603	DNA	DNA	0	0	0	0	0	139	280	133	368	769	1001	1267	2094	2091	2311	1153	2200	1199	1452	865	1349	597	904	535	129	174	431	118	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-787	LTR	Copia	186	466	746	972	1898	1254	1853	1087	2643	2155	2698	1627	1764	855	408	469	631	332	53	154	102	176	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-642	LTR	Gypsy	0	0	0	0	0	56	1253	2442	5498	4136	6102	3531	4717	3053	1889	2214	486	917	220	627	10	175	70	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-707	SINE	SINE	0	0	0	0	405	925	1294	2017	2814	2483	1867	2547	1403	1632	2044	1953	1792	2358	1455	1110	1114	721	598	224	537	114	207	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-898	LINE	LINE	0	0	0	0	0	0	0	0	514	39	1807	3292	2875	1356	1634	1491	620	735	1371	1681	1173	1426	943	277	727	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
